baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol
117.2959848,-0.166594691,0.177604707,0.272749261,0.480343089,MSANTD3
5.735543585,-0.110845323,0.359215049,0.272731128,0.480343089,DDX3P3
961.7908341,-0.08554749,0.080251907,0.272766391,0.480343089,SFXN5
16.57366983,0.19320763,0.346397951,0.27283816,0.480374518,AOC3
198.0820318,0.139658957,0.139315445,0.272928821,0.480486283,TDRP
49.4178234,0.206789233,0.291379803,0.273094374,0.480586286,NGFR-AS1
349.4074855,-0.120471575,0.11551039,0.273044685,0.480586286,TP53
28.91454042,0.194091303,0.338427848,0.273071265,0.480586286,NRAV
28.42482517,0.208229637,0.310311021,0.273037259,0.480586286,LOC105376253
69.95427282,0.200468234,0.245512209,0.273208416,0.480739117,ATP6AP2
308.73526,-0.122757829,0.114547998,0.273269052,0.480750103,PIGG
118.0609424,-0.164626876,0.173470154,0.27324855,0.480750103,METTL21A
33.23930079,0.13316032,0.359709861,0.273447445,0.480996735,ENTPD2
8.068178324,-0.130712733,0.360814275,0.273463664,0.480996735,ABHD14A-ACY1
44.23228629,0.206313296,0.264351609,0.273533411,0.481071546,CADM4
6.424545031,0.125494664,0.361594639,0.273622973,0.481181186,ARLNC1
6.04195308,0.126263363,0.362632975,0.273667685,0.481211943,LOC105377271
114.6397336,0.183671047,0.208527771,0.273967136,0.481690577,COQ10B
6.296857843,0.116850718,0.360827264,0.274009809,0.481717691,P2RX1
100.9667689,0.193209048,0.225703075,0.274200789,0.482005503,HARS2
142.395996,-0.165642518,0.174063146,0.274324713,0.482175395,LLPH
325.7574527,-0.141139351,0.141326574,0.274359005,0.482187725,TBX3
11.24958365,0.167642244,0.358177315,0.274402107,0.482215533,HOXC-AS3
42.92940635,0.20546027,0.303188517,0.274571802,0.482452368,LOC105375737
459.7780773,-0.113799727,0.110383416,0.274591462,0.482452368,WIPF1
138.0279815,0.169961106,0.181013147,0.274644476,0.482497555,PDCD4
260.277844,0.154775153,0.159213591,0.274851878,0.482510377,RIPK4
45.01501524,0.208784882,0.284176412,0.274791162,0.482510377,CNBD2
18.76839015,0.187959084,0.346828216,0.27488996,0.482510377,LOC101928039
57.69934868,0.197685724,0.241039965,0.27489229,0.482510377,GALNT12
7.080898545,-0.136304876,0.36064537,0.274897438,0.482510377,HOXA6
47.20012906,-0.20605903,0.269978753,0.274799032,0.482510377,LOC105374152
93.65468935,0.184919222,0.206030759,0.27478015,0.482510377,HIGD1A
104.0036522,-0.198341487,0.323638261,0.274813412,0.482510377,SSB
115.739361,-0.177888396,0.196177666,0.274747883,0.482510377,DUSP11
378.081083,-0.115446167,0.109782654,0.274989101,0.482623345,KMT2A
100.0679166,0.1758888,0.191495924,0.275028831,0.482645155,RNF167
7.603788476,0.10508507,0.359164032,0.275097986,0.482718592,MIR646HG
170.4372508,-0.157775366,0.165192314,0.275292329,0.483011663,CYP27B1
864.9234891,-0.088608139,0.085141807,0.275356416,0.483076158,MYO5C
243.9518634,-0.140726819,0.141364099,0.275384109,0.483076798,BRD8
77.78496407,-0.193822942,0.231999497,0.27551685,0.483261695,KREMEN1
1057.495344,-0.101390802,0.105692556,0.27557434,0.483266628,CLIP1
7.853184095,0.105358247,0.359280066,0.275564288,0.483266628,LOC107985792
199.7933661,-0.150738096,0.156236026,0.275645054,0.483294745,CDK5RAP1
107.7733037,0.176315832,0.192826512,0.275638206,0.483294745,QPCTL
167.6268009,0.148059494,0.15608762,0.275688747,0.483323413,WDR89
5.356407331,0.114799632,0.35999351,0.275725379,0.483339699,TLR9
167.0362986,-0.147342056,0.150810733,0.275799704,0.483374119,NT5M
9.25386875,0.147793701,0.360808809,0.275793565,0.483374119,LOC122539213
20.73542476,-0.193078228,0.338349624,0.275878046,0.483463489,SNRNP25
7.857833117,0.103562957,0.358779252,0.275918265,0.483486041,CPVL
21.58175104,-0.198567854,0.333133166,0.27604743,0.483616493,LOC102724378
786.2918715,-0.097143522,0.093041126,0.27602766,0.483616493,KLHL5
158.4655668,-0.159281794,0.169306761,0.276252545,0.48392788,SNRK
9.678168625,0.15292528,0.359637058,0.276342622,0.484037706,LOC105379130
51.25103858,0.205233927,0.26706347,0.276399966,0.484090181,GPR68
161.4887611,0.164122427,0.179070575,0.276671461,0.484449008,MRPS26
68.79427724,-0.191401646,0.22426705,0.276642196,0.484449008,ZNF418
6.03745593,0.122316682,0.360038553,0.276687062,0.484449008,RN7SL316P
8.933785313,0.150989327,0.360837047,0.276753667,0.484517637,CLEC19A
6.22342464,0.095012395,0.357211538,0.276984604,0.484614208,PEDS1-UBE2V1
16.9650891,0.177895014,0.352204041,0.276871125,0.484614208,MINDY2-DT
63.83347555,-0.203209609,0.262108062,0.276912801,0.484614208,NDUFB1
289.7540206,-0.12568484,0.123761787,0.277091443,0.484614208,RCL1
44.51664332,0.205291801,0.268680003,0.277110393,0.484614208,ERICH5
131.4355361,0.156496153,0.163847865,0.277033951,0.484614208,SARAF
64.24961558,0.19972946,0.246571512,0.27690431,0.484614208,ZKSCAN3
5.74559284,0.100117677,0.359095399,0.277070871,0.484614208,UGT8
14.92920465,0.166855228,0.356234475,0.277010712,0.484614208,TTC14-DT
30.20567222,-0.203376406,0.321152355,0.276922097,0.484614208,KCTD6
14.00218228,0.169568945,0.353275417,0.276958056,0.484614208,TBR1
239.177213,0.132984903,0.132338677,0.277215358,0.484749816,FAM91A1
9.758692617,0.142847386,0.35969187,0.277262032,0.48475926,LOC105378268
207.5288298,0.141372006,0.143847205,0.277275605,0.48475926,SUPT7L
130.7712651,0.174977025,0.192415069,0.277325812,0.484799089,LOC102724428
9.41748869,0.154304235,0.359967031,0.277358138,0.484807654,SLC10A5
32.13681976,-0.204296735,0.309808208,0.277405425,0.484842366,MRPS24
46.71587891,0.202940342,0.265210423,0.277461074,0.484891686,BBS5
28.53307261,-0.204683848,0.306845469,0.277533701,0.484922727,C16orf91
119.3642732,0.162980579,0.170858674,0.277530056,0.484922727,SLC25A46
245.3125235,0.130667598,0.135270219,0.277577885,0.484951993,USPL1
142.4683593,0.160136412,0.163714513,0.27763821,0.484961526,SYCE1L
7.649117569,0.102614382,0.358322888,0.277629806,0.484961526,LINC01340
25.17956588,0.197739646,0.329686081,0.277712421,0.484999055,GRIK5
136.2263384,0.164021148,0.173787485,0.277714569,0.484999055,STRADB
484.8027686,-0.109585846,0.108633166,0.277805946,0.485110709,PDE8B
38.85555129,0.129327312,0.360124576,0.277932596,0.485283929,IGK
9.247489335,0.120875196,0.357799276,0.278020461,0.485389401,ENPP6
20.54719088,0.190390007,0.340399471,0.278214873,0.485680853,LINC02732
23.17231205,0.19383893,0.336840645,0.278252449,0.485698484,MAP1LC3A
40.05712765,0.205145955,0.307536418,0.278286003,0.485709092,MYT1
136.2824454,0.162813621,0.17318257,0.278678298,0.486297756,DIPK1B
215.8338888,-0.137826543,0.139450882,0.278668353,0.486297756,SENP7
26.16490679,0.199487302,0.325697586,0.278792781,0.48644951,FAM8A1
58.24391216,-0.199002203,0.24688414,0.278960843,0.48664668,COX7B
63.27978475,0.190491242,0.257919886,0.278938432,0.48664668,SLC3A1
16.07837848,0.164855202,0.354552488,0.279077609,0.48673034,SLC8A3
38.57505648,0.205443729,0.295333217,0.279091403,0.48673034,CHMP4C
5.849937619,0.11164373,0.35994816,0.279063144,0.48673034,LOC105373891
68.05918167,-0.134448273,0.358725047,0.279157763,0.486798045,HSP90AA2P
51.61810099,0.200014991,0.246112217,0.279187314,0.486801554,DRAP1
36.20330309,0.208613655,0.293545772,0.279299928,0.486949879,LOC642355
8.669078182,0.147234024,0.36031075,0.279364347,0.487003218,LOC105373178
57.94453748,0.202956605,0.266696971,0.279385622,0.487003218,UFL1-AS1
26.82851919,-0.187359241,0.329342228,0.279542355,0.487180343,LOC101929270
5.492356565,0.119275647,0.360987885,0.279520846,0.487180343,HHLA2
13.90821407,-0.171583394,0.352713206,0.279636457,0.487296298,PRADC1
19.6296223,-0.183180934,0.344587772,0.279831808,0.487540595,LOC101928682
175.9083065,-0.147224823,0.151269499,0.279805577,0.487540595,TBC1D24
6.739863552,-0.115804927,0.359233567,0.27996005,0.487715956,YBX1P1
119.3054947,-0.168788473,0.182689834,0.280050307,0.487825116,TJAP1
74.99615418,-0.184581589,0.214257911,0.280088424,0.48784344,NEIL2
93.16615486,0.176133065,0.19621496,0.280118122,0.487847098,EEF1AKMT4-ECE2
86.7500916,0.179393357,0.206904447,0.280275547,0.48799965,DDX49
59.20652077,0.199597663,0.258878871,0.280288536,0.48799965,OR1J2
36.287205,0.197485876,0.324713435,0.280281657,0.48799965,SGPP2
43.35720252,0.204350972,0.271831788,0.280363783,0.488082587,NUDT7
5.989252136,-0.109868936,0.359673831,0.280455789,0.488194681,MLNR
84.43871891,0.182713986,0.212578295,0.280672902,0.488444734,ZNF182
107.7409192,-0.174258103,0.191167789,0.280679632,0.488444734,LNX2
24.88591882,-0.198555076,0.327986183,0.280682333,0.488444734,UST-AS2
12.94992971,-0.118655787,0.35942767,0.280817508,0.488631862,RPL23P6
19.94375457,-0.189107044,0.340045642,0.28112233,0.489114116,FAM166C
679.5014193,-0.089236998,0.088668901,0.281343077,0.489353691,ARFGEF2
86.16094525,0.18256899,0.211793125,0.281322898,0.489353691,LOC105371399
39.01219835,0.152264994,0.358910233,0.281300906,0.489353691,SPOCK3
65.94247417,-0.200916254,0.293218413,0.281406151,0.489367097,TIAM1
12.87100983,0.119961022,0.360096287,0.281380946,0.489367097,LINC01934
245.5798546,-0.133871457,0.134532175,0.281437526,0.489369229,NOP14
