Control1_REP1	Control1_REP2	Control2_REP1	Control2_REP2	15m_REP1	15m_REP2	3hr_REP1	3hr_REP2	2days_REP1	2days_REP2	4days_REP1	4days_REP2	7days_REP1	7days_REP2	GeneSymbol
88.66294351	87.77923444	128.9602679	130.6692369	127.9326457	139.4112273	124.6491234	133.4940412	82.4113545	97.92693247	98.92842263	91.85029486	81.39035246	75.79127009	ABCB8
20.09254577	20.87293101	24.29480881	23.64920747	24.41832649	23.30047556	22.97058754	22.6128641	18.10303549	19.78204545	20.00838591	20.99662989	17.63532612	21.71217141	ABCB9
112.6663862	102.8896772	138.9748421	137.7392697	137.9503673	138.4458615	123.7081877	132.0578291	127.3561943	123.4856057	143.5669142	131.8078232	123.393009	145.8895409	ABCC1
43.21751738	43.36648057	47.61405312	49.03930109	45.16526183	49.25857252	48.56934437	44.60369911	43.47072697	36.01839811	43.26797647	43.50886843	43.68773336	36.1827349	ABCC10
288.2368975	278.9267927	328.9963542	333.4279435	318.1274736	326.5676803	298.0130224	300.813342	285.1415156	275.5359333	291.0677718	274.3829072	254.3291967	272.5405584	ABCC2
388.9819494	339.4690157	502.2447412	480.5313128	506.5365361	482.4330144	469.4398403	431.4477243	430.5138599	408.6389886	603.76422	556.0721028	398.0247293	450.9124649	ABCC3
28.59536754	26.5179634	32.22606611	30.0089451	29.33759004	31.04339118	24.55085022	26.65461588	27.33698877	28.96889542	34.93889588	36.16529747	32.50166568	33.68495684	ABCC4
12.91975235	13.15832793	15.43290929	12.86067064	13.77041848	13.95734186	15.68394445	16.08980482	14.10572146	12.53172207	11.77959413	10.92299643	13.97367458	14.1628869	ABCC5
3.606987456	2.736000986	4.590814008	3.313284397	3.443610203	3.317991503	3.692815103	3.924173664	7.953526545	5.54548818	11.10894646	12.6882033	8.62824462	7.245615794	ABCC6
6.088520177	5.802495873	7.845263486	4.836088572	0	5.346123671	4.873984755	0	8.327139519	10.4243817	0	10.22195264	14.27301239	0	ABCC6P2
17.27000478	22.82981069	29.00066213	24.48499919	30.56573083	26.57812655	28.39326222	24.12980434	25.90560699	27.9789065	24.89845865	28.68266176	28.73143635	29.15276236	ABCD1
53.20139354	45.00187958	72.52698143	56.67694831	61.99706037	53.07191806	66.52925302	69.4152164	62.42929023	53.89827415	77.8389334	61.3078954	55.34793981	66.67835595	ABCD4
21.64831611	24.52084223	16.09654744	19.07442987	16.19204836	16.82733331	15.53063797	18.48884288	20.62848376	16.81085023	18.7450521	18.07326175	13.93519307	14.8128543	ABCE1
50.50315543	49.18267218	56.89619076	57.2855027	57.6974221	57.83442776	59.94362337	54.16633218	47.93527646	47.88045935	39.7255646	41.39072924	37.84662726	36.10408817	ABCF1
8.111241571	11.2439194	7.981228069	3.514215563	6.813888904	5.179786854	3.935281541	2.233477849	5.042532972	6.733361541	5.136021941	1.650651923	5.185848182	6.431204934	ABCF1-DT
