gene_set,track,segment,bin,mean,ci_low,ci_high,n_genes
expressed,"H3, DMSO 24 h",TSS_pm400,64,0.3700472733500053,0.27083112573707285,0.46712573633073085,56
expressed,"H3, DMSO 24 h",TSS_pm400,65,0.3463473251621639,0.25018163156296525,0.44239152930876496,56
expressed,"H3, DMSO 24 h",TSS_pm400,66,0.33612494726798364,0.24572418836078475,0.4318611661271592,56
expressed,"H3, DMSO 24 h",TSS_pm400,67,0.34070812522300653,0.25565815103772493,0.42841520266607397,56
expressed,"H3, DMSO 24 h",TSS_pm400,68,0.3326292396922197,0.24847454953539583,0.4215392336508791,56
expressed,"H3, DMSO 24 h",TSS_pm400,69,0.32487793547500454,0.24303834795719015,0.4127650039174062,56
expressed,"H3, DMSO 24 h",TSS_pm400,70,0.32406719522550703,0.24140325686794575,0.40835382252765295,56
expressed,"H3, DMSO 24 h",TSS_pm400,71,0.3158557688285197,0.2340108485460015,0.40406447256183514,56
expressed,"H3, DMSO 24 h",TSS_pm400,72,0.3061969629888024,0.22217140959841863,0.3956004485155323,56
expressed,"H3, DMSO 24 h",TSS_pm400,73,0.30541962350585633,0.22063493324576744,0.3989683481685019,56
expressed,"H3, DMSO 24 h",TSS_pm400,74,0.3123360052172627,0.21631061438604124,0.4282028375120302,56
expressed,"H3, DMSO 24 h",TSS_pm400,75,0.330280891167266,0.22993125273646522,0.45451135196723047,56
expressed,"H3, DMSO 24 h",TSS_pm400,76,0.33622839975037744,0.2346124018469293,0.461915653108486,56
expressed,"H3, DMSO 24 h",TSS_pm400,77,0.3103255374357104,0.2161988406082881,0.4280210479714775,56
expressed,"H3, DMSO 24 h",TSS_pm400,78,0.3037472091526503,0.20271840068445143,0.4182064570783682,56
expressed,"H3, DMSO 24 h",TSS_pm400,79,0.3048640362386193,0.199965549867068,0.42247261531584496,56
expressed,"H4, DMSO 24 h",TSS_pm400,0,4.203392376803927,2.754508448207218,5.775543779875818,56
expressed,"H4, DMSO 24 h",TSS_pm400,1,4.5138919214585,3.01177678647318,6.148831293356739,56
expressed,"H4, DMSO 24 h",TSS_pm400,2,4.944471310451627,3.293322750828895,6.722510499612295,56
expressed,"H4, DMSO 24 h",TSS_pm400,3,5.314958301000297,3.5790812419647615,7.1424937764342324,56
expressed,"H4, DMSO 24 h",TSS_pm400,4,5.826304954503264,3.852468975000084,7.908392589347704,56
expressed,"H4, DMSO 24 h",TSS_pm400,5,6.295378883076566,4.179413686187139,8.575414149082663,56
expressed,"H4, DMSO 24 h",TSS_pm400,6,6.950715157496077,4.702996306368814,9.425010155649591,56
expressed,"H4, DMSO 24 h",TSS_pm400,7,7.699084530983653,5.294041296376713,10.38093058979671,56
expressed,"H4, DMSO 24 h",TSS_pm400,8,8.404923117160797,5.8380306610757735,11.360278500957147,56
expressed,"H4, DMSO 24 h",TSS_pm400,9,8.832225027840051,6.144619510168477,11.90923539762252,56
expressed,"H4, DMSO 24 h",TSS_pm400,10,9.592570173101764,6.701871065481433,12.940435024334919,56
expressed,"H4, DMSO 24 h",TSS_pm400,11,10.636452838778496,7.357145432962902,14.272739838090324,56
expressed,"H4, DMSO 24 h",TSS_pm400,12,11.212165224126407,7.8162702631684295,14.99497047229537,56
expressed,"H4, DMSO 24 h",TSS_pm400,13,11.558391971886156,8.041463768146931,15.372821817813174,56
expressed,"H4, DMSO 24 h",TSS_pm400,14,12.064806887720312,8.482311931449388,16.172327004580623,56
expressed,"H4, DMSO 24 h",TSS_pm400,15,12.988946384297948,9.063876675838339,17.59006921661219,56
expressed,"H4, DMSO 24 h",TSS_pm400,16,14.006855545512265,9.550677922889593,19.116362365079777,56
expressed,"H4, DMSO 24 h",TSS_pm400,17,14.312286480622632,9.933819013562587,19.39589057457234,56
expressed,"H4, DMSO 24 h",TSS_pm400,18,14.993248531860965,10.400338261303093,20.203281685906855,56
expressed,"H4, DMSO 24 h",TSS_pm400,19,15.55259052876915,10.919500311123473,20.759587334639253,56
expressed,"H4, DMSO 24 h",TSS_pm400,20,16.016608674185616,11.192137693725526,21.39572787951678,56
expressed,"H4, DMSO 24 h",TSS_pm400,21,16.73118952619178,11.659398810714483,22.25909713540759,56
expressed,"H4, DMSO 24 h",TSS_pm400,22,17.16789203797068,11.863350321214112,22.91532220865467,56
expressed,"H4, DMSO 24 h",TSS_pm400,23,17.44712601474353,12.011150251105425,23.158944400740523,56
expressed,"H4, DMSO 24 h",TSS_pm400,24,17.92805131567376,12.318487119834336,23.821520360591155,56
expressed,"H4, DMSO 24 h",TSS_pm400,25,18.365672493406702,12.8192892217849,24.203755196375496,56
expressed,"H4, DMSO 24 h",TSS_pm400,26,18.77959448524884,13.317767304373639,24.574629268145976,56
expressed,"H4, DMSO 24 h",TSS_pm400,27,19.12366802671126,13.561863014894936,24.869622740655075,56
expressed,"H4, DMSO 24 h",TSS_pm400,28,19.597234002181462,14.067502957060936,25.34979857691696,56
expressed,"H4, DMSO 24 h",TSS_pm400,29,19.8618849498885,14.428935730297649,25.553645474708492,56
expressed,"H4, DMSO 24 h",TSS_pm400,30,20.14938763252326,14.92031674359526,25.73550467967987,56
expressed,"H4, DMSO 24 h",TSS_pm400,31,19.99730895268065,14.908356593692943,25.356267889940312,56
expressed,"H4, DMSO 24 h",TSS_pm400,32,20.259766905009748,15.132407713681461,25.288118758872155,56
expressed,"H4, DMSO 24 h",TSS_pm400,33,20.315557676857832,15.372347159963486,25.3589724840832,56
expressed,"H4, DMSO 24 h",TSS_pm400,34,20.16684191269534,15.352572142684034,25.120414419876678,56
expressed,"H4, DMSO 24 h",TSS_pm400,35,20.27003867243018,15.499060487236296,25.179436637588903,56
expressed,"H4, DMSO 24 h",TSS_pm400,36,20.337252189218994,15.606264668266693,25.15529773555164,56
expressed,"H4, DMSO 24 h",TSS_pm400,37,19.862135920513953,15.267833490608526,24.473899441204427,56
expressed,"H4, DMSO 24 h",TSS_pm400,38,19.56993355953267,14.974865356925875,24.330754210704132,56
expressed,"H4, DMSO 24 h",TSS_pm400,39,18.69775741589921,14.239986184601275,23.45282347071117,56
expressed,"H4, DMSO 24 h",TSS_pm400,40,16.98603978367256,13.04677711773597,20.900517656021485,56
expressed,"H4, DMSO 24 h",TSS_pm400,41,16.17680575129177,12.353310489718403,19.90449840515985,56
expressed,"H4, DMSO 24 h",TSS_pm400,42,15.32890323251486,11.601397413914757,18.94154176948326,56
expressed,"H4, DMSO 24 h",TSS_pm400,43,14.474859882039679,10.838306615815629,18.041786411766495,56
expressed,"H4, DMSO 24 h",TSS_pm400,44,13.335010522816862,9.984738613383048,16.7347672390512,56
expressed,"H4, DMSO 24 h",TSS_pm400,45,12.297200920326365,9.39509358562529,15.352660038013543,56
expressed,"H4, DMSO 24 h",TSS_pm400,46,11.552298062614032,8.693978812013354,14.530552764236925,56
expressed,"H4, DMSO 24 h",TSS_pm400,47,10.726126696807997,8.090103310389178,13.500255416812642,56
expressed,"H4, DMSO 24 h",TSS_pm400,48,9.701620548750672,7.339785827451518,12.28746510086847,56
expressed,"H4, DMSO 24 h",TSS_pm400,49,8.966172078145403,6.690165035280267,11.454376018763119,56
expressed,"H4, DMSO 24 h",TSS_pm400,50,8.18846107300903,6.083756890316892,10.551642874922337,56
expressed,"H4, DMSO 24 h",TSS_pm400,51,7.496661965602209,5.497650139699024,9.505200592425783,56
expressed,"H4, DMSO 24 h",TSS_pm400,52,6.9154233156038165,5.0404319952854095,8.778852613008182,56
expressed,"H4, DMSO 24 h",TSS_pm400,53,6.413941179056253,4.673129145670682,8.201991569343953,56
expressed,"H4, DMSO 24 h",TSS_pm400,54,5.931733773276209,4.309235260075489,7.648630556677067,56
expressed,"H4, DMSO 24 h",TSS_pm400,55,5.533630342196141,4.020604499966971,7.162173571577295,56
expressed,"H4, DMSO 24 h",TSS_pm400,56,4.976085906874921,3.616014650073568,6.502664064812871,56
expressed,"H4, DMSO 24 h",TSS_pm400,57,4.6233065158394835,3.3144714752218825,6.05169288393709,56
expressed,"H4, DMSO 24 h",TSS_pm400,58,4.31587009924863,3.1063234620820737,5.6236157632871935,56
expressed,"H4, DMSO 24 h",TSS_pm400,59,3.9411376450743,2.842510797269642,5.100210922328489,56
expressed,"H4, DMSO 24 h",TSS_pm400,60,3.720358566806785,2.696373845054768,4.788326735257038,56
expressed,"H4, DMSO 24 h",TSS_pm400,61,3.4389910355742486,2.449644370379725,4.4426004020018235,56
expressed,"H4, DMSO 24 h",TSS_pm400,62,3.07526413260826,2.2233919946796132,3.9213570374050835,56
